Key,Id,Korean (South Korea)(ko-KR),English(en)
staff.name.001,,김성은,Sarah Kim
staff.name.002,,이민준,Andrew Lee
staff.name.003,,박지호,Justin Park
staff.name.004,,최서윤,Sophie Choi
staff.name.005,,정도현,David Jung
staff.name.006,,강민서,Emma Kang
staff.name.007,,조유진,Julie Cho
staff.name.008,,윤하늘,Hannah Yoon
staff.name.009,,장태풍,Tyler Jang
staff.name.010,,임소영,Lily Lim
staff.name.011,,한지민,Jasmine Han
staff.name.012,,오재석,Jason Oh
staff.name.013,,서예린,Erin Seo
staff.name.014,,신동현,Daniel Shin
staff.name.015,,권나영,Nora Kwon
staff.name.016,,황우진,Eugene Hwang
staff.name.017,,안수아,Sua Ahn
staff.name.018,,송지원,Jiwon Song
staff.name.019,,류현우,Ryan Ryu
staff.name.020,,홍가람,Garam Hong
staff.name.021,,김태경,Kelly Kim
staff.name.022,,이주환,Joohwan Lee
staff.name.023,,박서진,Brian Park
staff.name.024,,최예나,Yena Choi
staff.name.025,,정민재,Minjae Jung
staff.name.026,,강유리,Yuri Kang
staff.name.027,,조성호,Steve Cho
staff.name.028,,윤예슬,Yeseul Yoon
staff.name.029,,장혜진,Hazel Jang
staff.name.030,,임도윤,Doyoon Lim
staff.name.031,,한승우,Henry Han
staff.name.032,,오지안,Jian Oh
staff.name.033,,서지호,Jiho Seo
staff.name.034,,신유나,Yuna Shin
staff.name.035,,권상민,Sam Kwon
staff.name.036,,황보라,Bora Hwang
staff.name.037,,안재현,Jay Ahn
staff.name.038,,송하린,Harin Song
staff.name.039,,류세빈,Sebin Ryu
staff.name.040,,홍민지,Minji Hong
staff.name.041,,김다은,Daniella Kim
staff.name.042,,이수빈,Subin Lee
staff.name.043,,박찬영,Chris Park
staff.name.044,,최아라,Ara Choi
staff.name.045,,정원석,Wonseok Jung
staff.name.046,,강하은,Haeun Kang
staff.name.047,,조윤서,Yoonseo Cho
staff.name.048,,윤시우,Siu Yoon
staff.name.049,,장로아,Roa Jang
staff.name.050,,임채린,Chaerin Lim
