Key,Id,Korean (South Korea)(ko-KR),English(en)
furniture.seat,,좌석,Seat
furniture.seat2p,,2인용 좌석,2-Seat Bench
furniture.chair2p,,2인용 의자,2-Seat Chair
furniture.counter,,카운터,Counter
furniture.passWindow,,패스창구,Pass Window
furniture.grill,,그릴,Grill
furniture.fryer,,튀김기,Fryer
furniture.workTable,,조리대,Work Table
furniture.iceCreamMachine,,아이스크림 기계,Ice Cream Machine
furniture.microwave,,전자레인지,Microwave
furniture.breadRack,,빵 보관함,Bread Rack
furniture.fishCuttingTable,,생선 손질대,Fish Cutting Table
unlock.cookingtool,,구매하면 이 도구로 만드는 메뉴가 해금 목록에 등장합니다.,Purchase to unlock menus made with this tool.
unlock.food,,새로운 손님이 등장할지도 모릅니다.,A new customer might appear.
furniture.phone,,전화기,Phone
furniture.phone.desc,,해금하고 설치시 배달직원 고용이 가능합니다,Unlock and install to enable hiring delivery staff
furniture.dtOrderWindow,,DT 주문창구,DT Order Window
furniture.dtPickupWindow,,DT 픽업창구,DT Pickup Window
furniture.toilet1,,변기 1,Toilet 1
furniture.toilet1.desc,,손님이 사용 시 만족도를 얻습니다,Customers gain satisfaction when used
furniture.toilet2,,변기 2,Toilet 2
furniture.toilet2.desc,,손님이 사용 시 만족도를 얻습니다,Customers gain satisfaction when used
furniture.toilet3,,변기 3,Toilet 3
furniture.toilet3.desc,,손님이 사용 시 만족도를 얻습니다,Customers gain satisfaction when used
furniture.sink,,세면대,Sink
furniture.sink.desc,,손님이 사용 시 추가 만족도를 얻습니다,Customers gain extra satisfaction when used
menu.burger,,햄버거,Burger
menu.sushi,,초밥,Sushi
menu.bread,,빵,Bread
menu.bacon,,베이컨,Bacon
menu.burrito,,부리토,Burrito
menu.cheesecake,,치즈케이크,Cheesecake
menu.cookies,,쿠키,Cookies
menu.chocolateCake,,초콜릿케이크,Chocolate Cake
menu.curry,,카레,Curry
menu.dumplings,,만두,Dumplings
menu.friedEgg,,계란프라이,Fried Egg
menu.eggTart,,에그타르트,Egg Tart
menu.frenchFries,,감자튀김,French Fries
menu.fruitCake,,과일케이크,Fruit Cake
menu.garlicBread,,마늘빵,Garlic Bread
menu.hotDog,,핫도그,Hot Dog
menu.iceCream,,아이스크림,Ice Cream
menu.meatball,,미트볼,Meatball
menu.omelet,,오믈렛,Omelet
menu.pudding,,푸딩,Pudding
menu.pizza,,피자,Pizza
menu.roastedChicken,,로스트치킨,Roasted Chicken
menu.sandwich,,샌드위치,Sandwich
menu.taco,,타코,Taco
menu.waffle,,와플,Waffle
ui.common.confirm,,확인,Confirm
ui.common.cancel,,취소,Cancel
ui.common.close,,닫기,Close
ui.common.save,,저장,Save
ui.common.yes,,예,Yes
ui.common.no,,아니오,No
ui.common.ok,,확인,OK
ui.common.back,,뒤로,Back
ui.common.next,,다음,Next
ui.common.buy,,구매,Buy
ui.common.sell,,판매,Sell
ui.common.unlock,,해금,Unlock
ui.common.locked,,잠김,Locked
ui.common.price,,가격,Price
ui.common.cost,,비용,Cost
ui.dropdown.install,,설치,Install
ui.dropdown.move,,이동,Move
ui.dropdown.remove,,삭제,Remove
ui.dropdown.customer,,손님,Customer
ui.dropdown.marketing,,마케팅,Marketing
ui.dropdown.info,,정보,Info
ui.dropdown.settings,,설정,Settings
ui.dropdown.menu,,메뉴,Menu
ui.shop.tab.hall,,홀,Hall
ui.shop.tab.kitchen,,주방,Kitchen
ui.shop.tab.riderRoom,,라이더룸,Rider Room
ui.shop.tab.dt,,드라이브 쓰루,Drive Thru
ui.shop.tab.menu,,메뉴,Menu
ui.shop.empty,,해금된 항목이 없습니다,No unlocked items
ui.hud.money,,돈,Money
ui.hud.satisfaction,,만족도,Satisfaction
ui.hud.reputation,,평판,Reputation
